Time,Distance,Alias Vehicle Speed,Math G Force Lat Corr
s,m,km/h,G
17.56,1025,95.5,-1.36
17.58,1025,96.2,-1.38
17.6,1026,96.4,-1.39
17.62,1026,96.8,-1.39
17.64,1027,97.1,-1.37
17.66,1027,97.8,-1.37
17.68,1028,98.2,-1.39
17.7,1028,98.8,-1.39
17.72,1029,99.5,-1.37
17.74,1030,100.1,-1.36
17.76,1030,100.3,-1.38
17.78,1031,100.7,-1.36
17.8,1031,101,-1.32
17.82,1032,101.8,-1.29
17.84,1032,102.2,-1.31
17.86,1033,102.8,-1.33
17.88,1034,103.4,-1.35
17.9,1034,104.3,-1.33
17.92,1035,104.6,-1.31
17.94,1035,105.4,-1.29
17.96,1036,106.2,-1.27
17.98,1036,106.6,-1.29
18,1037,107.3,-1.33
18.02,1038,108.1,-1.36
18.04,1038,109.1,-1.38
18.06,1039,109.5,-1.4
18.08,1040,110.3,-1.4
18.1,1040,110.9,-1.38
18.12,1041,111.2,-1.38
18.14,1041,111.6,-1.4
18.16,1042,112.2,-1.42
18.18,1043,113.1,-1.43
18.2,1043,114.1,-1.41
18.22,1044,114.7,-1.38
18.24,1045,115.2,-1.36
18.26,1045,115.4,-1.34
18.28,1046,115.7,-1.32
18.3,1046,117,-1.3
18.32,1047,117.4,-1.28
18.34,1048,118,-1.26
18.36,1048,118.6,-1.23
18.38,1049,119.5,-1.18
18.4,1050,119.6,-1.12
18.42,1050,119.9,-1.05
18.44,1051,120.5,-0.99
18.46,1052,121,-0.93
18.48,1052,121.6,-0.84
18.5,1053,122.5,-0.73
18.52,1054,122.6,-0.61
18.54,1055,123.3,-0.49
18.56,1055,123.8,-0.37
18.58,1056,124.9,-0.23
18.6,1057,125.2,-0.09
18.62,1057,125.7,0.04
18.64,1058,126.5,0.18
18.66,1059,127.3,0.3
18.68,1059,127.9,0.43
18.7,1060,128.8,0.54
18.72,1061,128.9,0.62
18.74,1062,129.2,0.7
18.76,1062,130.3,0.81
18.78,1063,130.6,0.93
18.8,1064,131.2,1.02
18.82,1065,132.2,1.09
18.84,1065,132.5,1.16
18.86,1066,132.9,1.23
